Date,Days since start,Bommie #,Treatment,Dictyota,Lobophora,Padina,Caulerpa,Filamentous red,Turbinaria,Sargassum,Other,Total Macroalgae
8/1/21,0,5,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,6,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,7,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,8,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,9,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,11,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,12,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,22,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,23,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,24,Dead coral,0,0,0,0,0,0,0,0,0
8/1/21,0,3,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,4,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,13,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,15,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,16,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,17,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,19,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,20,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,21,Open,0,0,0,0,0,0,0,0,0
8/1/21,0,27,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,5,Dead coral,20,0,0,0,0,0,0,0,20
4/6/22,250,6,Dead coral,20,0,0,0,0,0,0,0,20
4/6/22,250,7,Dead coral,5,0,2,10,0,0,0,0,17
4/6/22,250,8,Dead coral,5,0,0,0,0,0,0,0,5
4/6/22,250,9,Dead coral,25,0,0,0,0,0,0,0,25
4/6/22,250,11,Dead coral,20,0,0,0,0,0,0,0,20
4/6/22,250,12,Dead coral,5,0,0,0,0,0,0,0,5
4/6/22,250,22,Dead coral,10,0,0,0,0,0,0,0,10
4/6/22,250,23,Dead coral,5,0,0,10,5,0,0,0,20
4/6/22,250,24,Dead coral,5,0,0,0,0,0,0,0,5
4/6/22,250,3,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,4,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,13,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,15,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,16,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,17,Open,2,0,0,0,0,0,0,0,2
4/6/22,250,19,Open,5,0,0,0,0,0,0,0,5
4/6/22,250,20,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,21,Open,0,0,0,0,0,0,0,0,0
4/6/22,250,27,Open,0,0,0,0,0,0,0,0,0
8/8/22,370,5,Dead coral,25,5,0,0,0,0,0,0,30
8/8/22,370,6,Dead coral,5,5,0,0,15,5,0,0,30
8/8/22,370,7,Dead coral,0,10,0,5,0,0,0,0,15
8/8/22,370,8,Dead coral,5,5,0,0,0,0,0,0,10
8/8/22,370,9,Dead coral,20,5,0,0,0,0,0,0,25
8/8/22,370,11,Dead coral,10,5,0,0,0,0,0,0,15
8/8/22,370,12,Dead coral,5,5,0,0,0,0,0,0,10
8/8/22,370,22,Dead coral,25,5,0,0,0,0,0,0,30
8/8/22,370,23,Dead coral,15,10,0,0,0,0,0,0,25
8/8/22,370,24,Dead coral,15,5,0,0,0,0,0,0,20
8/15/22,370,3,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,4,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,13,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,15,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,16,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,17,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,19,Open,10,0,0,0,0,5,0,0,15
8/15/22,370,20,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,21,Open,0,0,0,0,0,0,0,0,0
8/15/22,370,27,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,30,Cage,5,0,0,0,0,0,0,15,20
6/1/23,660,31,Cage,0,0,70,0,0,0,0,5,75
6/1/23,660,32,Cage,15,0,5,0,80,0,0,0,100
6/1/23,660,33,Cage,5,0,10,0,0,0,0,5,20
6/1/23,660,34,Cage,0,0,0,0,0,0,0,0,0
6/1/23,660,35,Cage,0,0,0,0,0,0,0,0,0
6/1/23,660,36,Cage,0,0,10,0,0,10,0,10,30
6/1/23,660,37,Cage,0,0,0,0,0,0,0,0,0
6/1/23,660,38,Cage,0,0,5,0,0,0,1,86,92
6/1/23,660,39,Cage,0,0,0,0,0,0,0,0,0
6/1/23,660,5,Dead coral,20,0,0,0,0,0,0,0,20
6/1/23,660,6,Dead coral,45,0,0,0,0,5,0,5,55
6/1/23,660,7,Dead coral,0,0,5,0,0,0,0,0,5
6/1/23,660,8,Dead coral,20,0,0,0,0,0,0,0,20
6/1/23,660,9,Dead coral,60,0,0,0,0,0,0,0,60
6/1/23,660,11,Dead coral,90,0,0,0,2,0,0,0,92
6/1/23,660,12,Dead coral,40,0,0,1,0,0,0,0,41
6/1/23,660,22,Dead coral,25,0,0,0,0,0,0,0,25
6/1/23,660,23,Dead coral,10,0,0,1,0,1,0,0,12
6/1/23,660,24,Dead coral,95,0,0,0,0,0,0,0,95
6/1/23,660,3,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,4,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,13,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,15,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,16,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,17,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,19,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,20,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,21,Open,0,0,0,0,0,0,0,0,0
6/1/23,660,27,Open,0,0,0,0,0,0,0,0,0
6/29/23,700,30,Cage,40,0,0,0,5,0,0,0,45
6/29/23,700,31,Cage,30,0,20,0,30,0,0,0,80
6/29/23,700,32,Cage,10,0,5,0,0,0,0,0,15
6/29/23,700,33,Cage,0,2,2,0,0,0,0,35,39
6/29/23,700,35,Cage,0,0,0,0,0,0,0,0,0
6/29/23,700,36,Cage,15,0,0,0,0,0,0,15,30
6/29/23,700,38,Cage,0,0,0,0,0,0,10,10,20
7/1/23,700,34,Cage/Open,0,0,0,0,0,0,0,0,0
7/1/23,700,37,Cage/Open,0,0,0,0,0,0,0,0,0
7/1/23,700,39,Cage/Open,0,0,0,0,0,0,0,0,0
6/29/23,700,5,Dead coral,55,0,0,0,0,0,0,0,55
6/29/23,700,6,Dead coral,35,0,0,0,0,10,0,0,45
6/29/23,700,7,Dead coral,0,5,5,1,0,0,0,0,11
6/29/23,700,8,Dead coral,70,0,0,0,0,0,0,0,70
6/29/23,700,9,Dead coral,30,1,0,0,0,0,0,0,31
6/29/23,700,11,Dead coral,65,5,0,0,0,0,0,0,70
6/29/23,700,12,Dead coral,50,5,0,0,0,0,0,0,55
6/29/23,700,22,Dead coral,25,0,0,0,0,0,10,10,45
6/29/23,700,23,Dead coral,50,5,0,1,5,5,0,1,67
6/29/23,700,24,Dead coral,5,0,0,0,0,0,0,0,5
7/1/23,700,3,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,4,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,13,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,15,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,16,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,17,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,19,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,20,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,21,Open,0,0,0,0,0,0,0,0,0
7/1/23,700,27,Open,0,0,0,0,0,0,0,0,0
