Trial number,Date initally measured and outplanted,Date retrieved and measured,Bommie number,Treatment,Coral position on bommie,Coral number,Initial Weight (g),Initial Length (mm),Initial Width (mm),Initial Height (mm),Percent Survival,Final Weight (g),Final Length (mm),Final Width (mm),Final Height (mm),% Bleached,Signs of Corallivory,Number of bites,Distance (cm) from top of eyebolt (not tag) to coral position #1,z spar scraped?,Notes
1,8/2021,8/2022,24,Bleached Coral,2,1,13.6,24,23,20,0,16.1,22,21,19,NA,N,No bites taken,,,Amansia growing on it.
1,8/2021,8/2022,7,Bleached Coral,4,2,11.9,20,16,10,100,41.4,43,40,38,NA,Y,1 bite,,yes,1.3 g of coral broken off
1,8/2021,8/2022,5,Bleached Coral,2,3,18,28,27,20,0,30.8,36,35,28,NA,N,No bites taken,,,"Lobophora, hypnea, dictyotya growing on it. Algae weighs 0.8 g"
1,8/2021,8/2022,9,Bleached Coral,5,4,11.7,25,20,15,100,47,52,44,35,NA,Y,5 bites,,,Red algae and dictyota growing on it.
1,8/2021,8/2022,9,Bleached Coral,4,5,16.3,26,20,15,100,45.3,41,38,31,NA,Y,1bite,,,
1,8/2021,8/2022,17,Open,2,7,17.9,25,22,20,0,55,46,41,31,NA,N,No bites taken,,,
1,8/2021,8/2022,12,Bleached Coral,5,8,9.9,20,13,10,100,24.4,32,30,27,NA,Y,3 bites,,,Hypnea growing on it.
1,8/2021,8/2022,15,Open,4,9,17.2,25,20,19,100,28.7,38,28,28,NA,Y,2 bites,,,Coral number actually 101; Replaced with coral 101 due to signs of bleaching after one week
1,8/2021,8/2022,20,Open,5,9,16.3,22,20,17,0,69.1,50,44,36,NA,N,No bites taken,,,"This is likely coral 6, not 9"
1,8/2021,8/2022,9,Bleached Coral,1,10,12.6,25,13,15,0,39.6,40,35,33,NA,Y,Tissue removal,22,,Bright white skeleton.
1,8/2021,8/2022,5,Bleached Coral,5,11,9.7,22,20,13,100,31.4,38,34,30,NA,Y,2 bites,,,
1,8/2021,8/2022,17,Open,5,12,15.1,23,20,17,0,30.9,33,28,30,NA,N,No bites taken,,,
1,8/2021,8/2022,24,Bleached Coral,4,13,13.2,25,20,14,0,49.3,50,42,36,NA,Y,Tissue removal,,,Bright white skeleton.
1,8/2021,8/2022,4,Open,4,14,10,13,13,10,0,19,25,25,20,NA,Y,Pin cushion tissue removal,,,Bright white skeleton
1,8/2021,8/2022,15,Open,2,15,12.6,20,15,13,100,26.3,39,26,25,NA,N,No bites taken,,,1 crab
1,8/2021,8/2022,16,Open,5,16,18.8,25,20,15,0,20.1,23,16,18,NA,N,No bites taken,,,
1,8/2021,8/2022,11,Bleached Coral,4,17,10.6,18,16,13,0,16.6,23,20,16,NA,N,No bites taken,,,"Dictyota, hypnea, lobophora growing on it."
1,8/2021,8/2022,24,Bleached Coral,5,18,12.6,20,18,15,0,25.7,31,30,26,NA,Y,Tissue removal,,,Bright white skeleton. Lobophora growing on it.
1,8/2021,8/2022,7,Bleached Coral,5,19,11.4,22,14,13,100,48.2,49,42,34,NA,Y,2 bites,,,Mushroom satellite algae
1,8/2021,8/2022,16,Open,2,20,8.5,18,18,10,0,9.4,12,10,6,NA,N,No bites taken,,,
1,8/2021,8/2022,17,Open,4,21,12.1,20,20,12,0,14.4,25,22,14,NA,N,No bites taken,,,
1,8/2021,8/2022,27,Open,3,22,12.9,23,17,16,0,29.4,32,31,26,NA,N,No bites taken,,,
1,8/2021,8/2022,24,Bleached Coral,1,23,10.4,20,22,10,0,39.7,46,41,32,NA,Y,Tissue removal,38,,Bright white skeleton.
1,8/2021,8/2022,12,Bleached Coral,2,24,8.9,16,13,11,0,9.5,17,18,10,NA,N,No bites taken,,,Hypnea growing on it.
1,8/2021,8/2022,27,Open,1,25,7.8,17,13,10,0,41.5,45,44,40,NA,N,No bites taken,23,,
1,8/2021,8/2022,8,Bleached Coral,4,26,10.3,16,16,12,0,14,24,20,21,NA,N,No bites taken,,yes,Lobophora and hypnea growing on it.
1,8/2021,8/2022,5,Bleached Coral,4,27,11.1,20,20,14,0,39.5,41,41,29,NA,N,No bites taken,,,"Lobophora, hypnea, dictyotya growing on it."
