Video filename,Date_started,Algae,Treatment,Fish_ID,Fish_Species,Swim_In_Time,Feed_Start_Time,Bite_Count,Feed_End_Time,Swim_Out_Time,Observer,Notes for Emalia/Kai,Notes from Emalia/Kai
GH050009,11/7/22,Amansia,Open,1,Brushtail tang,8:38:00,8:52:00,17,9:27:00,9:46:00,Zara,,
GH050009,11/7/22,Amansia,Open,2,Mimic surgeonfish,8:32:00,9:01:00,2,9:02:00,9:06:00,Zara,,
GH050009,11/7/22,Amansia,Dead coral,3,Brushtail tang,9:17:00,9:37:00,1,9:38:00,9:41:00,Zara,,
GH050009,11/7/22,Amansia,Open,4,Brushtail tang,14:10:00,14:39:00,5,14:56:00,15:10:00,Zara,,
GH040009,11/8/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH040009,11/8/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH030009,11/9/22,Amansia,Dead coral,1,Brushtail tang,20:05:00,20:11:00,3,20:15:00,20:44:00,Zara,,
GH030009,11/9/22,Amansia,Open,2,Brushtail tang,23:14:00,23:28:00,1,23:29:00,24:17:00,Zara,,
GH030009,11/9/22,Amansia,Open,3,Brushtail tang,23:16:00,23:31:00,7,23:49:00,23:53:00,Zara,,
GH030180,11/9/22,Amansia,Open,1,Brushtail tang,13:16:00,13:20:00,1,13:21:00,13:29:00,Zara,,
GH030180,11/9/22,Amansia,Open,2,Brushtail tang,13:19:00,13:25:00,6,13:34:00,13:51:00,Zara,,
GH030180,11/9/22,Amansia,Open,3,Brushtail tang,18:33:00,18:45:00,2,18:46:00,19:20:00,Zara,,
GH030180,11/9/22,Amansia,Open,4,Brushtail tang,18:46:00,19:04:00,3,19:09:00,19:17:00,Zara,,
GH030180,11/9/22,Amansia,Open,5,Brushtail tang,21:51:00,22:00:00,45,23:20:00,23:40:00,Zara,,
GH030180,11/9/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH020180,11/10/22,Amansia,Open,1,Brushtail tang,53:02:00,53:06:00,2,53:12:00,53:21:00,Zara,,
GH020180,11/10/22,Amansia,Open,2,Brushtail tang,53:06:00,53:12:00,2,53:13:00,53:30:00,Zara,,
GH020180,11/10/22,Amansia,Open,3,Brushtail tang,57:56:00,58:01:00,9,58:12:00,58:31:00,Zara,,
GH020180,11/10/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH010180,11/10/22,Amansia,Open,1,Brushtail tang,28:36:00,28:39:00,2,28:43:00,28:51:00,Zara,,
GH010180,11/10/22,Amansia,Open,2,Brushtail tang,34:07:00,34:19:00,5,34:45:00,34:54:00,Zara,,
GH010180,11/10/22,Amansia,Open,3,Brushtail tang,34:33:00,34:37:00,3,34:40:00,34:45:00,Zara,,
GH010180,11/10/22,Amansia,Open,4,Brushtail tang,36:31:00,36:36:00,1,36:36:00,36:42:00,Zara,not sure if it's taking a bite or just touching the algae,Looks like a bite to me! - Emalia
GH010180,11/10/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH080009,11/10/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH080009,11/10/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH070009,11/10/22,Amansia,Open,1,Brushtail tang,47:34:00,47:37:00,7,47:44:00,49:27:00,Zara,,
GH070009,11/10/22,Amansia,Open,2,Brushtail tang,49:35:00,49:38:00,13,49:55:00,51:43:00,Zara,fish in frame at end of vid. vid end time = swim out time,
GH070009,11/10/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH060009,11/14/22,Amansia,Open,1,Mimic surgeonfish,25:56:00,26:05:00,7,26:16:00,27:17:00,Zara,,
GH060009,11/14/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH050009,11/14/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH050009,11/14/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH020284,11/20/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020284,11/20/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH030284,11/20/22,Amansia,Dead coral,1,Brushtail tang,16:28:00,16:55:00,1,16:55:00,17:37:00,Zara,,
GH030284,11/20/22,Amansia,Dead coral,2,Brushtail tang,17:52:00,19:12:00,5,19:17:00,19:49:00,Zara,,
GH030284,11/20/22,Amansia,Open,2,Brushtail tang,17:52:00,19:36:00,2,19:38:00,19:49:00,Zara,,
GH030284,11/20/22,Amansia,Open,3,Brushtail tang,20:10:00,20:18:00,1,20:18:00,20:31:00,Zara,,
GH040284,11/20/22,Amansia,Open,1,Brushtail tang,35:05:00,35:13:00,4,35:19:00,36:16:00,Zara,,
GH040284,11/20/22,Amansia,Dead coral,1,Brushtail tang,35:05:00,35:46:00,1,35:46:00,36:16:00,Zara,,
GH040284,11/20/22,Amansia,Open,1,Brushtail tang,35:05:00,36:08:00,1,36:08:00,36:16:00,Zara,,
GH040284,11/20/22,Amansia,Open,2,Brushtail tang,35:56:00,36:13:00,3,36:18:00,36:22:00,Zara,,
GH040284,11/20/22,Amansia,Open,3,Brushtail tang,39:09:00,39:15:00,3,39:18:00,39:28:00,Zara,,
GH040284,11/20/22,Amansia,Open,4,Brushtail tang,39:12:00,39:17:00,5,39:26:00,39:56:00,Zara,,
GH040284,11/20/22,Amansia,Open,5,Brushtail tang,40:44:00,40:51:00,1,40:51:00,41:13:00,Zara,,
GH010284,11/20/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH010284,11/20/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH010010,11/20/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH010010,11/20/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH020010,11/21/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020010,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH030010,11/21/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH030010,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH040010,11/21/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH040010,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH010285,11/21/22,Amansia,Open,1,Striped bristletooth,51:31:00,52:12:00,1,52:12:00,52:19:00,Zara,,
GH010285,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH020285,11/21/22,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020285,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH030285,11/21/22,Amansia,Open,1,Brushtail tang,32:04:00,32:19:00,18,32:32:00,32:38:00,Zara,,
GH030285,11/21/22,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH040181,1/28/23,Amansia,Dead coral,1,Striped bristletooth,50:29:00,50:38:00,2,50:40:00,50:48:00,Zara,unsure about second bite,
GH040181,1/28/23,Amansia,Open,1,Striped bristletooth,50:29:00,50:45:00,1,50:45:00,50:48:00,Zara,"unsure about bite ^ for these 2 i cannot see the algae, so i'm not sure whether the fish just went towards it",
GH030181,1/28/23,Amansia,Dead coral,1,Mimic surgeonfish,25:59:00,26:04:00,11,26:16:00,26:54:00,Zara,"^ cannot see the algae, so unsure about some of the bites","Looks like these fish were taking bites of algae growing on the dead coral skeletons, not the amansia. check if there are any other places where you recorded these bites and delete"
GH030181,1/28/23,Amansia,Dead coral,2,Striped bristletooth,26:20:00,26:38:00,1,26:39:00,26:50:00,Zara,,
GH030181,1/28/23,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020181,1/30/23,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020181,1/30/23,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH010181,1/30/23,Amansia,Open,NO DATA,,,,,,,Zara,,
GH010181,1/30/23,Amansia,Dead coral,1,Striped bristletooth,39:14:00,39:22:00,2,39:23:00,39:28:00,Zara,,
GH010181,1/30/23,Amansia,Dead coral,2,Striped bristletooth,41:44:00,41:48:00,1,41:48:00,41:50:00,Zara,,
GH040010,1/30/23,Amansia,Open,1,Striped bristletooth,53:44:00,53:48:00,2,53:49:00,54:06:00,Zara,,
GH040010,1/30/23,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH030010,1/30/23,Amansia,Dead coral,1,Brushtail tang,24:35:00,24:40:00,2,24:41:00,24:44:00,Zara,fish in frame at start of vid. vid start time = swim in time,
GH030010,1/30/23,Amansia,Open,NO DATA,,,,,,,Zara,,
GH020010,1/30/23,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH020010,1/30/23,Amansia,Open,NO DATA,,,,,,,Zara,,
GH010010,1/30/23,Amansia,Open,1,Brushtail tang,47:33:00,47:57:00,24,48:18:00,48:32:00,Zara,,
GH010010,1/30/23,Amansia,Dead coral,NO DATA,,,,,,,Zara,,
GH060009,11/10/22,Amansia,Open,1,Mimic surgeonfish,32:03:00,32:10:00,1,32:10:00,32:34:00,Andy,,
GH060009,11/10/22,Amansia,Dead coral,2,Brushtail tang,38:57:00,39:19:00,3,39:21:00,39:38:00,Andy,May have bit more times out of view (3),
GH070009,11/10/22,Amansia,Open,NO DATA,,,,,,,,,
GH070009,11/10/22,Amansia,Dead coral,1,Brushtail tang,58:55:00,59:00:00,3,59:04:00,59:41:00,Andy,,
GH040180,11/11/22,Amansia,Open,1,Brushtail tang,36:49:00,36:53:00,63,38:27:00,38:30:00,Andy,,
GH040180,11/11/22,Amansia,Open,2,Brushtail tang,37:05:00,37:11:00,1,37:11:00,38:16:00,Andy,,
GH040180,11/11/22,Amansia,Open,3,Brushtail tang,39:07:00,39:11:00,29,39:53:00,39:59:00,Andy,,
GH040180,11/11/22,Amansia,Open,4,Brushtail tang,40:55:00,41:00:00,5,41:11:00,41:55:00,Andy,,
GH040180,11/11/22,Amansia,Open,5,Brushtail tang,43:02:00,43:28:00,7,43:39:00,44:22:00,Andy,,
