gap distance (cm),Bites per 25 cm2 
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
4,2
4,0
4,0
4,0
4,2
4,0
4,4
4,0
4,4
4,0
4,0
4,0
5,6
5,0
5,3
5,5
5,6
5,5
5,3
5,3
5,4
5,5
5,4
5,3
5,3
6,4
6,5
6,5
6,5
6,5
6,6
7,7
7,6
7,8
7,6
7,6
7,7
8,8
8,15
8,9
8,7
8,6
8,8
8,9
8,8
9,12
9,11
9,8
9,9
9,9
open,14
open,10
open,15
open,9
open,15
open,7
open,9
open,10
open,10
open,7
open,12
open,8
open,10
open,12
open,9
open,12
open,7
open,6
open,11
open,14
open,10
open,11
open,5
open,10
open,14
open,15
open,5
open,9
open,11
open,10
open,9
open,5
open,6
open,12
