Year,Taxa,Trial,Treatment,Plot,Initial mass (g),Final mass (g),Notes
2022,Amansia,1,Dead Coral,1A,15.08,0.85,Spin 2x
2022,Amansia,1,Open,2A,14.3,0.35,
2022,Amansia,1,Dead Coral,1B,16.22,2.54,
2022,Amansia,1,Open,2B,13.9,0.24,
2022,Amansia,1,Dead Coral,1C,13.97,0.35,
2022,Amansia,1,Open,2C,14.62,0.57,
2022,Amansia,1,Dead Coral,1D,13.35,1.03,
2022,Amansia,1,Open,2D,13.47,0.15,
2022,Amansia,2,Dead Coral,1A,21.49,1.82,Mostly stipes left in all dead coral treatments (As). Most blades gone
2022,Amansia,2,Open,2A,18.43,0.2,
2022,Amansia,2,Dead Coral,1B,20.16,1.24,
2022,Amansia,2,Open,2B,21.47,0.07,
2022,Amansia,2,Dead Coral,1C,21.58,1.53,
2022,Amansia,2,Open,2C,19.64,0.27,
2022,Amansia,2,Dead Coral,1D,21.5,4.39,
2022,Amansia,2,Open,2D,21.6,0.06,
2022,Lobophora,1,Dead Coral,1A,5.42,3.72,Spin 3x
2022,Lobophora,1,Open,2A,4.61,1.98,
2022,Lobophora,1,Dead Coral,1B,5.46,5.47,
2022,Lobophora,1,Open,2B,5.46,0.37,
2022,Lobophora,1,Dead Coral,1C,4.69,3.43,
2022,Lobophora,1,Open,2C,5.25,0.32,
2022,Lobophora,1,Dead Coral,1D,5.33,1.77,
2022,Lobophora,1,Open,2D,5.24,3.47,
2022,Lobophora,2,Dead Coral,1A,6.55,6.39,
2022,Lobophora,2,Open,2A,6.15,4.36,
2022,Lobophora,2,Dead Coral,1B,6.24,6.23,
2022,Lobophora,2,Open,2B,6.71,4.56,
2022,Lobophora,2,Dead Coral,1C,6.49,4.8,
2022,Lobophora,2,Open,2C,6.63,5.31,
2022,Lobophora,2,Dead Coral,1D,6.39,6.18,
2022,Lobophora,2,Open,2D,6.32,1.03,
2022,Turbinaria,1,Dead Coral,1A,2.04,1.31,Spin 3x
2022,Turbinaria,1,Open,2A,2.01,0.64,
2022,Turbinaria,1,Dead Coral,1B,2.19,1.82,
2022,Turbinaria,1,Open,2B,2.1,0.56,
2022,Turbinaria,1,Dead Coral,1C,2.14,1.51,
2022,Turbinaria,1,Open,2C,2.23,0.28,
2022,Turbinaria,1,Dead Coral,1D,2.23,1.64,
2022,Turbinaria,1,Open,2D,2.18,0.95,
2022,Turbinaria,2,Dead Coral,1A,3.3,2.25,
2022,Turbinaria,2,Open,2A,3.78,2.34,
2022,Turbinaria,2,Dead Coral,1B,3.22,3.22,
2022,Turbinaria,2,Open,2B,3.43,3.58,
2022,Turbinaria,2,Dead Coral,1C,3.24,1.78,
2022,Turbinaria,2,Open,2C,3.81,0.4,
2022,Turbinaria,2,Dead Coral,1D,3.79,3.84,
2022,Turbinaria,2,Open,2D,3.25,1.21,
2022,Sargassum,1,Dead Coral,1A,20.36,3.04,"Spin 3x, all stipes 8cm, ziptied 5 pairs of 2 (10 total) to each plot"
2022,Sargassum,1,Open,2A,14.43,0.07,
2022,Sargassum,1,Dead Coral,1B,20.27,2.01,
2022,Sargassum,1,Open,2B,20.91,0.11,
2022,Sargassum,1,Dead Coral,1C,17.55,6.21,
2022,Sargassum,1,Open,2C,20.16,0.16,
2022,Sargassum,1,Dead Coral,1D,20.52,3.72,
2022,Sargassum,1,Open,2D,18.41,0.09,
2022,Sargassum,2,Dead Coral,1A,16.47,1.9,
2022,Sargassum,2,Open,2A,18.88,1.14,
2022,Sargassum,2,Dead Coral,1B,18.61,2.09,
2022,Sargassum,2,Open,2B,20.72,0.04,
2022,Sargassum,2,Dead Coral,1C,20.12,7.12,
2022,Sargassum,2,Open,2C,20.76,0.03,
2022,Sargassum,2,Dead Coral,1D,16.71,2.76,
2022,Sargassum,2,Open,2D,18.84,0.17,
2023,Dictyota,1,Open,1A,51.9,17.8,
2023,Dictyota,1,Open,1B,52.1,23.3,
2023,Dictyota,1,Open,1C,48.8,10.4,No edible biomass left; all enclosed in jaws of clothespin
2023,Dictyota,1,Open,1D,46.6,10.4,No edible biomass left; all enclosed in jaws of clothespin
2023,Dictyota,1,Dead Coral,2A,46.6,25.3,
2023,Dictyota,1,Dead Coral,2B,47,19,
