Assay #,Date started,MRB Bommie #,TTT,Date Measured,Elapsed time,Percent turf remaining
1,24-Jul-21,1,Open,24-Jul-21,90 min,0
1,24-Jul-21,1,Open,24-Jul-21,90 min,0
1,24-Jul-21,1,Open,24-Jul-21,90 min,0
1,24-Jul-21,1,Open,24-Jul-21,90 min,0
1,24-Jul-21,1,Open,24-Jul-21,90 min,0
1,24-Jul-21,75,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,75,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,75,Dead coral,24-Jul-21,90 min,50
1,24-Jul-21,75,Dead coral,24-Jul-21,90 min,50
1,24-Jul-21,75,Dead coral,24-Jul-21,90 min,25
1,24-Jul-21,23,Open,24-Jul-21,90 min,0
1,24-Jul-21,23,Open,24-Jul-21,90 min,0
1,24-Jul-21,23,Open,24-Jul-21,90 min,0
1,24-Jul-21,23,Open,24-Jul-21,90 min,0
1,24-Jul-21,23,Open,24-Jul-21,90 min,25
1,24-Jul-21,39,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,39,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,39,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,39,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,39,Dead coral,24-Jul-21,90 min,75
1,24-Jul-21,63,Open,24-Jul-21,90 min,0
1,24-Jul-21,63,Open,24-Jul-21,90 min,0
1,24-Jul-21,63,Open,24-Jul-21,90 min,0
1,24-Jul-21,63,Open,24-Jul-21,90 min,50
1,24-Jul-21,63,Open,24-Jul-21,90 min,25
1,24-Jul-21,55,Dead coral,24-Jul-21,90 min,75
1,24-Jul-21,55,Dead coral,24-Jul-21,90 min,75
1,24-Jul-21,55,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,55,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,55,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,15,Open,24-Jul-21,90 min,0
1,24-Jul-21,15,Open,24-Jul-21,90 min,0
1,24-Jul-21,15,Open,24-Jul-21,90 min,0
1,24-Jul-21,15,Open,24-Jul-21,90 min,50
1,24-Jul-21,15,Open,24-Jul-21,90 min,25
1,24-Jul-21,12,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,12,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,12,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,12,Dead coral,24-Jul-21,90 min,100
1,24-Jul-21,12,Dead coral,24-Jul-21,90 min,50
1,24-Jul-21,1,Open,25-Jul-21,24 h,0
1,24-Jul-21,1,Open,25-Jul-21,24 h,0
1,24-Jul-21,1,Open,25-Jul-21,24 h,0
1,24-Jul-21,1,Open,25-Jul-21,24 h,0
1,24-Jul-21,1,Open,25-Jul-21,24 h,0
1,24-Jul-21,75,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,75,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,75,Dead coral,25-Jul-21,24 h,50
1,24-Jul-21,75,Dead coral,25-Jul-21,24 h,50
1,24-Jul-21,75,Dead coral,25-Jul-21,24 h,25
1,24-Jul-21,23,Open,25-Jul-21,24 h,0
1,24-Jul-21,23,Open,25-Jul-21,24 h,0
1,24-Jul-21,23,Open,25-Jul-21,24 h,0
1,24-Jul-21,23,Open,25-Jul-21,24 h,0
1,24-Jul-21,23,Open,25-Jul-21,24 h,10
1,24-Jul-21,39,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,39,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,39,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,39,Dead coral,25-Jul-21,24 h,100
1,24-Jul-21,39,Dead coral,25-Jul-21,24 h,75
1,24-Jul-21,63,Open,25-Jul-21,24 h,0
1,24-Jul-21,63,Open,25-Jul-21,24 h,0
1,24-Jul-21,63,Open,25-Jul-21,24 h,0
